,id,control,delay,ks p-values,t-test p-values,significant,objectid
0,113,2.90909090909,3.52808988764,0.564268639082,0.0244863998931,1,113
1,115,3.48356807512,4.38953488372,0.0471280640185,0.00366915419313,1,115
2,132,23.1265306122,25.1206896552,0.0968898109585,0.0421202209429,1,132
3,133,17.6519607843,21.0930232558,0.0274576996966,0.00196131890658,1,133
4,135,5.28758169935,6.14173228346,0.0823549123101,0.0167891304883,1,135
5,221,1.0,1.11363636364,0.993946338699,0.0235475868144,1,221
6,225,3.19298245614,3.98913043478,0.0457572256275,0.00450977279211,1,225
7,234,2.11344537815,2.58823529412,0.24207123405,0.0213780028624,1,234
8,235,3.19844357977,4.89772727273,0.0062625255227,0.000238718406106,1,235
9,236,1.66470588235,2.01388888889,0.0585638071828,0.0290066781365,1,236
10,237,1.40625,1.79166666667,0.0219729659925,0.00515637200517,1,237
11,418,13.7264150943,17.6222222222,0.0112018892313,0.00348439581939,1,418
12,419,8.30666666667,9.96721311475,0.132069488515,0.00611326341575,1,419
13,6,22.7203791469,24.6052631579,0.164780945425,0.0219506846986,1,6
14,622,3.65637065637,4.74305555556,2.92169653016e-05,3.91760156151e-05,1,622
15,626,74.2160278746,64.4696969697,2.2785662332e-05,1.67062695144e-06,1,626
16,627,35.8043478261,29.4405594406,9.67341522365e-07,1.79217392872e-08,1,627
17,628,27.1176470588,22.7534246575,1.12404280977e-06,0.000158417982714,1,628
18,630,50.206779661,55.5483870968,0.0606418298011,0.0468941315528,1,630
19,632,47.9721115538,37.1488095238,1.29850338139e-10,3.69833127934e-10,1,632
20,634,48.2693877551,43.8448275862,0.000127124516285,0.0108796831445,1,634
21,638,26.5106382979,31.2880434783,2.30498844494e-06,4.07969139774e-05,1,638
22,640,6.51428571429,8.83955223881,0.000380703830164,3.14071691293e-07,1,640
