keycol,delay,Taxi_Rides
2_4_13,1,27
3_4_13,4,54
5_4_13,3,15
6_4_13,1,28
8_4_13,4,1
1_4_14,5,42
10_4_14,4,2
11_4_14,3,1
12_4_14,3,1
2_4_14,3,23
3_4_14,5,63
5_4_14,3,8
6_4_14,1,40
8_4_14,2,4
1_4_15,2,59
10_4_15,2,3
12_4_15,3,2
2_4_15,2,17
3_4_15,3,41
5_4_15,3,18
6_4_15,0,31
8_4_15,3,7
1_4_16,2,43
11_4_16,3,1
2_4_16,2,23
3_4_16,3,21
5_4_16,2,17
6_4_16,0,22
8_4_16,3,6
1_4_17,3,47
10_4_17,3,1
2_4_17,2,16
3_4_17,2,37
5_4_17,3,14
6_4_17,1,29
8_4_17,3,5
1_4_18,0,51
10_4_18,2,1
11_4_18,2,1
13_4_18,2,3
15_4_18,3,1
16_4_18,3,1
2_4_18,0,28
3_4_18,0,37
5_4_18,0,11
6_4_18,2,32
8_4_18,1,4
1_4_19,0,69
10_4_19,2,4
11_4_19,3,2
12_4_19,2,4
13_4_19,1,1
15_4_19,1,3
2_4_19,1,31
3_4_19,1,43
5_4_19,1,35
6_4_19,0,58
8_4_19,1,9
1_4_20,2,40
10_4_20,2,1
11_4_20,3,1
13_4_20,2,1
15_4_20,2,1
2_4_20,3,26
3_4_20,4,45
5_4_20,3,14
6_4_20,2,32
8_4_20,3,6
1_5_7,2,15
10_5_7,3,1
13_5_7,3,1
17_5_7,4,1
2_5_7,4,13
3_5_7,3,6
5_5_7,2,6
6_5_7,3,19
8_5_7,3,1
1_5_8,1,10
13_5_8,3,1
2_5_8,3,16
3_5_8,2,8
5_5_8,2,7
6_5_8,2,22
1_5_9,3,49
10_5_9,3,1
13_5_9,3,1
2_5_9,2,7
3_5_9,3,17
5_5_9,3,4
6_5_9,3,18
1_5_10,1,25
12_5_10,1,1
2_5_10,1,20
3_5_10,2,22
5_5_10,0,11
6_5_10,1,20
8_5_10,1,1
1_5_11,0,47
10_5_11,1,1
11_5_11,2,1
2_5_11,0,28
3_5_11,0,31
5_5_11,1,15
6_5_11,1,42
1_5_12,1,22
10_5_12,0,1
12_5_12,1,1
13_5_12,2,1
2_5_12,0,15
3_5_12,2,23
5_5_12,1,11
6_5_12,0,22
8_5_12,1,3
1_5_13,1,36
10_5_13,2,1
11_5_13,1,1
12_5_13,1,1
2_5_13,1,23
3_5_13,1,29
5_5_13,1,12
6_5_13,0,25
8_5_13,3,4
1_5_14,0,35
10_5_14,1,1
2_5_14,1,30
3_5_14,2,45
5_5_14,1,15
6_5_14,2,18
8_5_14,0,2
1_5_15,1,37
12_5_15,2,1
13_5_15,1,1
2_5_15,0,13
3_5_15,0,40
5_5_15,2,12
6_5_15,0,34
8_5_15,0,2
1_5_16,0,45
11_5_16,1,1
12_5_16,0,1
2_5_16,0,11
3_5_16,2,40
5_5_16,1,10
6_5_16,1,11
8_5_16,0,1
1_5_17,0,47
12_5_17,0,1
2_5_17,3,17
3_5_17,1,51
5_5_17,0,10
6_5_17,1,17
8_5_17,1,1
1_5_18,0,38
10_5_18,2,3
11_5_18,3,1
13_5_18,2,2
2_5_18,0,32
3_5_18,1,35
5_5_18,0,25
6_5_18,1,36
8_5_18,1,2
1_5_19,0,35
10_5_19,0,1
11_5_19,1,1
12_5_19,0,2
13_5_19,2,1
16_5_19,1,1
2_5_19,0,25
3_5_19,0,67
5_5_19,0,28
6_5_19,0,41
8_5_19,0,6
1_5_20,2,29
10_5_20,4,1
11_5_20,3,1
12_5_20,2,1
2_5_20,2,19
3_5_20,3,37
5_5_20,2,28
6_5_20,2,17
8_5_20,2,3
1_6_7,1,25
12_6_7,1,1
2_6_7,1,12
